"FirstFound"	"LastPresent"	"LastChecked"	"Fate"	"Freq"	"NestAge"	"Year"	"std_time"
"312"	56	75	78	1	1	-51	"2008"	1.148243445
"313"	56	79	82	1	1	-55	"2008"	1.348594761
"314"	53	77	77	0	1	-52	"2008"	1.198331274
"315"	53	76	76	0	1	-51	"2008"	1.148243445
"316"	66	74	77	1	1	-66	"2008"	1.89956088
"317"	68	74	77	1	1	-66	"2008"	1.89956088
"318"	17	43	43	0	1	-16	"2008"	-0.554742741
"319"	17	44	44	0	1	-16	"2008"	-0.504654912
"320"	19	25	27	1	1	-14	"2008"	-0.805181886
"321"	20	32	35	1	1	-19	"2008"	-0.504654912
"322"	7	27	27	0	1	-2	"2009"	-1.406235835
"323"	25	47	47	0	1	-22	"2009"	-0.354391425
"324"	47	47	50	1	1	-47	"2009"	0.947892129
"325"	53	65	67	1	1	-53	"2009"	1.248419103
"326"	11	23	26	1	1	-6	"2009"	-1.205884519
"327"	25	29	29	0	1	-4	"2009"	-1.306060177
"328"	28	28	30	1	1	-27	"2009"	-0.003776622
"329"	37	64	64	0	1	-32	"2009"	0.547189497
"330"	42	61	64	1	1	-37	"2009"	0.447013839
"331"	57	63	67	1	1	-52	"2009"	1.198331274
"332"	58	80	80	0	1	-55	"2009"	1.348594761
"333"	11	29	29	0	1	-4	"2009"	-1.306060177
"334"	13	38	38	0	1	-13	"2009"	-0.855269715
"335"	19	39	39	0	1	-14	"2009"	-0.805181886
"336"	19	39	39	0	1	-14	"2009"	-0.805181886
"337"	19	40	40	0	1	-15	"2009"	-0.755094057
"338"	19	47	47	0	1	-19	"2009"	-0.354391425
"339"	21	27	30	1	1	-20	"2009"	-0.354391425
"340"	9	30	30	0	1	-5	"2009"	-1.255972348
"341"	28	57	57	0	1	-27	"2009"	0.196574694
"342"	55	72	72	0	1	-47	"2009"	0.947892129
"343"	12	26	26	0	1	-1	"2009"	-1.456323664
"344"	14	26	30	1	1	-12	"2009"	-0.905357544
"345"	21	23	26	1	1	-19	"2009"	-0.504654912
"346"	25	51	51	0	1	-24	"2009"	-0.154040109
"347"	64	83	83	0	1	-58	"2009"	1.498858248
"348"	9	29	29	0	1	-4	"2009"	-1.306060177
"349"	27	52	52	0	1	-27	"2009"	-0.10395228
"350"	42	67	67	0	1	-42	"2009"	0.697452984
"351"	48	74	74	0	1	-49	"2009"	1.048067787
"352"	9	35	37	1	1	-8	"2009"	-1.10570886
"353"	11	25	25	0	1	1	"2009"	-1.506411493
"354"	20	48	48	0	1	-19	"2009"	-0.304303596
"355"	29	54	57	1	1	-24	"2009"	-0.254215767
"356"	72	80	83	1	1	-70	"2009"	2.099912196
"357"	77	80	82	1	1	-72	"2009"	2.200087854
"358"	32	52	52	0	1	-27	"2009"	-0.10395228
"359"	26	55	55	0	1	-25	"2009"	0.046311207
"360"	29	49	49	0	1	-24	"2009"	-0.254215767
"361"	39	64	64	0	1	-39	"2009"	0.547189497
"362"	40	62	62	0	1	-37	"2009"	0.447013839
"363"	40	63	63	0	1	-38	"2009"	0.497101668
"364"	43	63	63	0	1	-38	"2009"	0.497101668
"365"	47	70	70	0	1	-45	"2009"	0.847716471
